"go"	"cluster"	"parent"	"score"	"size"	"term"	"parentTerm"	"termUniqueness"	"termUniquenessWithinCluster"	"termDispensability"
"GO:0015318"	1	"GO:0015318"	13.9208187539524	688	"inorganic molecular entity transmembrane transporter activity"	"inorganic molecular entity transmembrane transporter activity"	0.769903743315508	0.3544375	0
"GO:0008236"	2	"GO:0008236"	13.1870866433571	192	"serine-type peptidase activity"	"serine-type peptidase activity"	0.912106951871658	0.389058823529412	0
"GO:0015075"	1	"GO:0015318"	13.0315170514461	724	"monoatomic ion transmembrane transporter activity"	"inorganic molecular entity transmembrane transporter activity"	0.753320855614973	0.310484375	0.776
"GO:0017171"	2	"GO:0008236"	13.0177287669604	196	"serine hydrolase activity"	"serine-type peptidase activity"	0.923770053475936	0.518117647058824	0.994
"GO:0008324"	1	"GO:0015318"	12.1549019599857	602	"monoatomic cation transmembrane transporter activity"	"inorganic molecular entity transmembrane transporter activity"	0.754732620320856	0.313828125	0.75
"GO:0022890"	1	"GO:0015318"	11.5850266520292	564	"inorganic cation transmembrane transporter activity"	"inorganic molecular entity transmembrane transporter activity"	0.772625668449198	0.36178125	0.949
"GO:0038023"	3	"GO:0038023"	11.537602002101	1533	"signaling receptor activity"	"signaling receptor activity"	0.947989304812834	0.346357142857143	0
"GO:0060089"	3	"GO:0038023"	11.2076083105017	1533	"molecular transducer activity"	"signaling receptor activity"	0.947989304812834	0.346357142857143	0.961
"GO:1901702"	1	"GO:0015318"	11.0087739243075	587	"salt transmembrane transporter activity"	"inorganic molecular entity transmembrane transporter activity"	0.775331550802139	0.369953125	0.752
"GO:0031014"	4	"GO:0031014"	10.5850266520292	4	"troponin T binding"	"troponin T binding"	0.975187165775401	0.594142857142857	0
"GO:0030172"	4	"GO:0031014"	10.5850266520292	3	"troponin C binding"	"troponin T binding"	0.974877005347594	0.589142857142857	0.393
"GO:0005230"	1	"GO:0015318"	9.92081875395237	74	"extracellular ligand-gated monoatomic ion channel activity"	"inorganic molecular entity transmembrane transporter activity"	0.768267379679144	0.36621875	0.597
"GO:0005231"	1	"GO:0015318"	9.82390874094432	37	"excitatory extracellular ligand-gated monoatomic ion channel activity"	"inorganic molecular entity transmembrane transporter activity"	0.786524064171123	0.416015625	0.536
"GO:0022857"	1	"GO:0015318"	9.69897000433602	1122	"transmembrane transporter activity"	"inorganic molecular entity transmembrane transporter activity"	0.764459893048128	0.34065625	0.849
"GO:0022836"	1	"GO:0015318"	9.55284196865778	326	"gated channel activity"	"inorganic molecular entity transmembrane transporter activity"	0.76220320855615	0.343875	0.694
"GO:0022839"	1	"GO:0015318"	9.55284196865778	325	"monoatomic ion gated channel activity"	"inorganic molecular entity transmembrane transporter activity"	0.749582887700535	0.307	0.694
"GO:0048306"	5	"GO:0048306"	9.33724216831843	79	"calcium-dependent protein binding"	"calcium-dependent protein binding"	0.984775401069519	1	0
