"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classic"
"GO:0015318"	"inorganic molecular entity transmembrane..."	1295	195	113.83	"1.2e-14"
"GO:0008236"	"serine-type peptidase activity"	241	60	21.18	"6.5e-14"
"GO:0015075"	"monoatomic ion transmembrane transporter..."	1394	203	122.53	"9.3e-14"
"GO:0017171"	"serine hydrolase activity"	256	62	22.5	"9.6e-14"
"GO:0008324"	"monoatomic cation transmembrane transpor..."	1015	157	89.22	"7.0e-13"
"GO:0022890"	"inorganic cation transmembrane transport..."	962	149	84.56	"2.6e-12"
"GO:0038023"	"signaling receptor activity"	727	121	63.9	"2.9e-12"
"GO:0060089"	"molecular transducer activity"	735	121	64.61	"6.2e-12"
"GO:1901702"	"salt transmembrane transporter activity"	824	131	72.43	"9.8e-12"
"GO:0030172"	"troponin C binding"	12	11	1.05	"2.6e-11"
"GO:0031014"	"troponin T binding"	12	11	1.05	"2.6e-11"
"GO:0005230"	"extracellular ligand-gated monoatomic io..."	109	33	9.58	"1.2e-10"
"GO:0005231"	"excitatory extracellular ligand-gated mo..."	93	30	8.17	"1.5e-10"
"GO:0022857"	"transmembrane transporter activity"	1625	215	142.84	"2.0e-10"
"GO:0022836"	"gated channel activity"	372	71	32.7	"2.8e-10"
"GO:0022839"	"monoatomic ion gated channel activity"	372	71	32.7	"2.8e-10"
"GO:0048306"	"calcium-dependent protein binding"	97	30	8.53	"4.6e-10"
"GO:0004252"	"serine-type endopeptidase activity"	183	44	16.09	"4.8e-10"
"GO:0022824"	"transmitter-gated monoatomic ion channel..."	103	31	9.05	"5.1e-10"
"GO:0022835"	"transmitter-gated channel activity"	103	31	9.05	"5.1e-10"
"GO:0046873"	"metal ion transmembrane transporter acti..."	678	108	59.6	"6.5e-10"
"GO:0030594"	"neurotransmitter receptor activity"	143	37	12.57	"1.3e-09"
"GO:0015081"	"sodium ion transmembrane transporter act..."	275	56	24.17	"1.9e-09"
"GO:0005509"	"calcium ion binding"	558	92	49.05	"2.2e-09"
"GO:0003779"	"actin binding"	456	79	40.08	"3.2e-09"
"GO:0008233"	"peptidase activity"	856	126	75.24	"3.8e-09"
"GO:0008509"	"monoatomic anion transmembrane transport..."	642	101	56.43	"4.7e-09"
"GO:0022803"	"passive transmembrane transporter activi..."	635	100	55.82	"5.3e-09"
"GO:0015267"	"channel activity"	627	99	55.11	"5.5e-09"
"GO:0005216"	"monoatomic ion channel activity"	545	89	47.91	"6.5e-09"
"GO:0008238"	"exopeptidase activity"	219	47	19.25	"6.7e-09"
"GO:0043167"	"ion binding"	3730	416	327.87	"9.9e-09"
"GO:0005215"	"transporter activity"	1899	235	166.92	"1.3e-08"
"GO:0098960"	"postsynaptic neurotransmitter receptor a..."	81	25	7.12	"1.4e-08"
"GO:0015276"	"ligand-gated monoatomic ion channel acti..."	224	47	19.69	"1.4e-08"
"GO:0022834"	"ligand-gated channel activity"	224	47	19.69	"1.4e-08"
"GO:0015108"	"chloride transmembrane transporter activ..."	124	32	10.9	"1.8e-08"
"GO:1904315"	"transmitter-gated monoatomic ion channel..."	67	22	5.89	"2.8e-08"
"GO:0099529"	"neurotransmitter receptor activity invol..."	68	22	5.98	"3.8e-08"
"GO:0016491"	"oxidoreductase activity"	1360	176	119.55	"5.7e-08"
"GO:0004888"	"transmembrane signaling receptor activit..."	471	77	41.4	"6.6e-08"
"GO:0015370"	"solute:sodium symporter activity"	173	38	15.21	"9.7e-08"
"GO:0051015"	"actin filament binding"	204	42	17.93	"1.4e-07"
"GO:0005254"	"chloride channel activity"	92	25	8.09	"2.2e-07"
"GO:0005283"	"amino acid:sodium symporter activity"	48	17	4.22	"3.1e-07"
"GO:0015103"	"inorganic anion transmembrane transporte..."	255	48	22.41	"3.3e-07"
"GO:0004181"	"metallocarboxypeptidase activity"	59	19	5.19	"3.5e-07"
"GO:0004497"	"monooxygenase activity"	206	41	18.11	"5.2e-07"
"GO:0005343"	"organic acid:sodium symporter activity"	90	24	7.91	"5.6e-07"
"GO:0022853"	"active monoatomic ion transmembrane tran..."	396	65	34.81	"6.0e-07"
"GO:0005416"	"amino acid:monoatomic cation symporter a..."	50	17	4.4	"6.0e-07"
"GO:0038187"	"pattern recognition receptor activity"	26	12	2.29	"6.1e-07"
"GO:0005253"	"monoatomic anion channel activity"	97	25	8.53	"6.6e-07"
"GO:0015291"	"secondary active transmembrane transport..."	365	61	32.08	"7.1e-07"
"GO:0022848"	"acetylcholine-gated monoatomic cation-se..."	51	17	4.48	"8.3e-07"
"GO:0004180"	"carboxypeptidase activity"	92	24	8.09	"8.6e-07"
"GO:0005539"	"glycosaminoglycan binding"	135	30	11.87	"1.6e-06"
"GO:0030246"	"carbohydrate binding"	238	43	20.92	"4.1e-06"
"GO:0015293"	"symporter activity"	215	40	18.9	"4.2e-06"
"GO:0015294"	"solute:monoatomic cation symporter activ..."	215	40	18.9	"4.2e-06"
"GO:0005261"	"monoatomic cation channel activity"	456	69	40.08	"5.4e-06"
"GO:0005342"	"organic acid transmembrane transporter a..."	299	50	26.28	"6.9e-06"
"GO:0046943"	"carboxylic acid transmembrane transporte..."	299	50	26.28	"6.9e-06"
"GO:0008514"	"organic anion transmembrane transporter ..."	503	74	44.21	"7.0e-06"
"GO:0099095"	"ligand-gated monoatomic anion channel ac..."	42	14	3.69	"7.7e-06"
"GO:0036094"	"small molecule binding"	2083	237	183.1	"9.4e-06"
"GO:0043169"	"cation binding"	2000	228	175.8	"1.3e-05"
"GO:0008237"	"metallopeptidase activity"	265	45	23.29	"1.3e-05"
"GO:0008235"	"metalloexopeptidase activity"	114	25	10.02	"1.5e-05"
"GO:0004175"	"endopeptidase activity"	515	74	45.27	"1.6e-05"
"GO:0099094"	"ligand-gated monoatomic cation channel a..."	174	33	15.29	"1.9e-05"
"GO:0008307"	"structural constituent of muscle"	83	20	7.3	"2.5e-05"
"GO:0022804"	"active transmembrane transporter activit..."	693	92	60.92	"3.8e-05"
"GO:0046872"	"metal ion binding"	1810	206	159.1	"3.9e-05"
"GO:0005326"	"neurotransmitter transmembrane transport..."	93	21	8.17	"4.5e-05"
"GO:0030247"	"polysaccharide binding"	32	11	2.81	"5.3e-05"
"GO:0005237"	"inhibitory extracellular ligand-gated mo..."	38	12	3.34	"6.3e-05"
"GO:0004930"	"G protein-coupled receptor activity"	201	35	17.67	"6.9e-05"
"GO:0016209"	"antioxidant activity"	163	30	14.33	"7.9e-05"
