"go"	"cluster"	"parent"	"score"	"size"	"term"	"parentTerm"	"termUniqueness"	"termUniquenessWithinCluster"	"termDispensability"
"GO:0098660"	1	"GO:0098660"	16.7447274948967	938	"inorganic ion transmembrane transport"	"inorganic ion transmembrane transport"	0.911040570175438	0.3171	0
"GO:0006811"	2	"GO:0006811"	16.698970004336	1269	"monoatomic ion transport"	"monoatomic ion transport"	0.914940789473684	0.280205128205128	0
"GO:0034220"	2	"GO:0006811"	16.3098039199715	1040	"monoatomic ion transmembrane transport"	"monoatomic ion transport"	0.902474780701754	0.27548717948718	0.941
"GO:0006936"	3	"GO:0006936"	15.9586073148418	351	"muscle contraction"	"muscle contraction"	0.925042763157895	0.360020408163265	0
"GO:0006812"	2	"GO:0006811"	14.4202164033832	1055	"monoatomic cation transport"	"monoatomic ion transport"	0.915065789473684	0.263179487179487	0.948
"GO:0030001"	2	"GO:0006811"	14.3767507096021	900	"metal ion transport"	"monoatomic ion transport"	0.915336622807017	0.257692307692308	0.934
"GO:0098655"	2	"GO:0006811"	14.0043648054024	865	"monoatomic cation transmembrane transport"	"monoatomic ion transport"	0.902805921052631	0.259	0.914
"GO:0003008"	3	"GO:0006936"	13.8860566476932	2323	"system process"	"muscle contraction"	0.917144736842105	0.330326530612245	0.761
"GO:0098662"	1	"GO:0098660"	13.0604807473814	845	"inorganic cation transmembrane transport"	"inorganic ion transmembrane transport"	0.911524122807017	0.3173	0.976
"GO:0003012"	3	"GO:0006936"	13	452	"muscle system process"	"muscle contraction"	0.923819078947368	0.353061224489796	0.966
"GO:0009605"	4	"GO:0009605"	12.8538719643218	2784	"response to external stimulus"	"response to external stimulus"	0.934186403508772	0.421090909090909	0
"GO:0006873"	5	"GO:0006873"	12.0177287669604	535	"intracellular monoatomic ion homeostasis"	"intracellular monoatomic ion homeostasis"	0.978797149122807	0.167555555555556	0
"GO:0030003"	5	"GO:0006873"	11.8860566476932	526	"intracellular monoatomic cation homeostasis"	"intracellular monoatomic ion homeostasis"	0.978775219298246	0.166888888888889	0.992
"GO:0098771"	5	"GO:0006873"	11.7958800173441	537	"inorganic ion homeostasis"	"intracellular monoatomic ion homeostasis"	0.980003289473684	0.229	0.861
"GO:0055080"	5	"GO:0006873"	11.2596373105058	601	"monoatomic cation homeostasis"	"intracellular monoatomic ion homeostasis"	0.979265350877193	0.187555555555556	0.973
"GO:0006820"	2	"GO:0006811"	11.0555173278498	172	"monoatomic anion transport"	"monoatomic ion transport"	0.929150219298246	0.368307692307692	0.75
"GO:0055085"	1	"GO:0098660"	11.0315170514461	1572	"transmembrane transport"	"inorganic ion transmembrane transport"	0.908549342105263	0.3572	0.903
"GO:0032787"	6	"GO:0032787"	10.4559319556497	632	"monocarboxylic acid metabolic process"	"monocarboxylic acid metabolic process"	0.918710526315789	0.328966666666667	0
"GO:0007186"	7	"GO:0007186"	10.4089353929735	1287	"G protein-coupled receptor signaling pathway"	"G protein-coupled receptor signaling pathway"	0.907132675438596	0.3759	0
"GO:0006937"	3	"GO:0006936"	10.4089353929735	170	"regulation of muscle contraction"	"muscle contraction"	0.898860745614035	0.339469387755102	0.919
"GO:0050896"	8	"GO:0050896"	10.397940008672	9207	"response to stimulus"	"response to stimulus"	0.940554824561403	0.6994	0
"GO:0065008"	9	"GO:0065008"	10.3467874862247	2985	"regulation of biological quality"	"regulation of biological quality"	0.938115131578947	0.4148	0
"GO:0007610"	10	"GO:0007610"	10.2924298239021	648	"behavior"	"behavior"	0.940010964912281	0.308714285714286	0
"GO:0050801"	5	"GO:0006873"	10.2924298239021	610	"monoatomic ion homeostasis"	"intracellular monoatomic ion homeostasis"	0.979299342105263	0.188333333333333	0.977
"GO:0009636"	11	"GO:0009636"	9.82390874094432	258	"response to toxic substance"	"response to toxic substance"	0.941656798245614	0.519931034482759	0
"GO:0050877"	3	"GO:0006936"	9.74472749489669	1523	"nervous system process"	"muscle contraction"	0.918894736842105	0.324632653061224	0.709
"GO:0006874"	5	"GO:0006873"	9.67778070526608	308	"intracellular calcium ion homeostasis"	"intracellular monoatomic ion homeostasis"	0.978871710526316	0.186388888888889	0.942
"GO:0019752"	6	"GO:0032787"	9.65757731917779	949	"carboxylic acid metabolic process"	"monocarboxylic acid metabolic process"	0.91678399122807	0.309033333333333	0.93
"GO:0098739"	1	"GO:0098660"	9.45593195564972	212	"import across plasma membrane"	"inorganic ion transmembrane transport"	0.924109649122807	0.3576	0.702
