"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classic"
"GO:0005219"	"ryanodine-sensitive calcium-release chan..."	14	11	0.45	"1.3e-14"
"GO:0048763"	"calcium-induced calcium release activity"	24	11	0.78	"6.5e-11"
"GO:0015278"	"calcium-release channel activity"	50	13	1.62	"4.6e-09"
"GO:0016725"	"oxidoreductase activity, acting on CH or..."	67	14	2.18	"2.5e-08"
"GO:0099604"	"ligand-gated calcium channel activity"	57	13	1.85	"2.6e-08"
"GO:0008235"	"metalloexopeptidase activity"	114	18	3.7	"2.7e-08"
"GO:0008233"	"peptidase activity"	856	55	27.81	"1.0e-06"
"GO:0005217"	"intracellular ligand-gated monoatomic io..."	77	13	2.5	"1.1e-06"
"GO:0038023"	"signaling receptor activity"	727	49	23.62	"1.1e-06"
"GO:0005343"	"organic acid:sodium symporter activity"	90	14	2.92	"1.2e-06"
"GO:0060089"	"molecular transducer activity"	735	49	23.88	"1.5e-06"
"GO:0004177"	"aminopeptidase activity"	92	14	2.99	"1.5e-06"
"GO:0033218"	"amide binding"	616	43	20.01	"2.1e-06"
"GO:0008395"	"steroid hydroxylase activity"	71	12	2.31	"2.7e-06"
"GO:0008238"	"exopeptidase activity"	219	22	7.12	"2.8e-06"
"GO:0008237"	"metallopeptidase activity"	265	24	8.61	"6.2e-06"
"GO:1901702"	"salt transmembrane transporter activity"	824	51	26.77	"7.6e-06"
"GO:0003824"	"catalytic activity"	8840	336	287.2	"1.0e-05"
"GO:0046873"	"metal ion transmembrane transporter acti..."	678	44	22.03	"1.0e-05"
"GO:0004888"	"transmembrane signaling receptor activit..."	471	34	15.3	"1.2e-05"
"GO:0015370"	"solute:sodium symporter activity"	173	18	5.62	"1.4e-05"
"GO:0042277"	"peptide binding"	439	32	14.26	"1.8e-05"
"GO:0017046"	"peptide hormone binding"	72	11	2.34	"1.9e-05"
"GO:0002020"	"protease binding"	231	21	7.5	"2.2e-05"
"GO:0015293"	"symporter activity"	215	20	6.99	"2.5e-05"
"GO:0015294"	"solute:monoatomic cation symporter activ..."	215	20	6.99	"2.5e-05"
"GO:0140096"	"catalytic activity, acting on a protein"	3200	142	103.96	"3.0e-05"
"GO:0019900"	"kinase binding"	1301	69	42.27	"3.5e-05"
"GO:0003725"	"double-stranded RNA binding"	121	14	3.93	"3.8e-05"
"GO:0003779"	"actin binding"	456	32	14.81	"3.9e-05"
"GO:0099094"	"ligand-gated monoatomic cation channel a..."	174	17	5.65	"5.4e-05"
"GO:0005164"	"tumor necrosis factor receptor binding"	82	11	2.66	"6.7e-05"
"GO:0019901"	"protein kinase binding"	1207	64	39.21	"6.9e-05"
"GO:0015276"	"ligand-gated monoatomic ion channel acti..."	224	19	7.28	"0.00014"
"GO:0022834"	"ligand-gated channel activity"	224	19	7.28	"0.00014"
"GO:0004497"	"monooxygenase activity"	206	18	6.69	"0.00014"
"GO:0005310"	"dicarboxylic acid transmembrane transpor..."	90	11	2.92	"0.00016"
"GO:0032813"	"tumor necrosis factor receptor superfami..."	108	12	3.51	"0.00020"
"GO:0043621"	"protein self-association"	159	15	5.17	"0.00021"
"GO:0097110"	"scaffold protein binding"	109	12	3.54	"0.00022"
"GO:0004252"	"serine-type endopeptidase activity"	183	16	5.95	"0.00032"
"GO:0043167"	"ion binding"	3730	155	121.18	"0.00033"
"GO:0016763"	"pentosyltransferase activity"	99	11	3.22	"0.00037"
"GO:0051015"	"actin filament binding"	204	17	6.63	"0.00037"
"GO:0016705"	"oxidoreductase activity, acting on paire..."	283	21	9.19	"0.00039"
"GO:0005216"	"monoatomic ion channel activity"	545	33	17.71	"0.00047"
"GO:0005496"	"steroid binding"	154	14	5	"0.00050"
"GO:0022836"	"gated channel activity"	372	25	12.09	"0.00051"
"GO:0022839"	"monoatomic ion gated channel activity"	372	25	12.09	"0.00051"
"GO:0015081"	"sodium ion transmembrane transporter act..."	275	20	8.93	"0.00069"
"GO:0022890"	"inorganic cation transmembrane transport..."	962	50	31.25	"0.00069"
"GO:0005262"	"calcium channel activity"	178	15	5.78	"0.00072"
"GO:0017171"	"serine hydrolase activity"	256	19	8.32	"0.00073"
"GO:0004175"	"endopeptidase activity"	515	31	16.73	"0.00076"
