"go"	"cluster"	"parent"	"score"	"size"	"term"	"parentTerm"	"termUniqueness"	"termUniquenessWithinCluster"	"termDispensability"
"GO:0005219"	1	"GO:0005219"	13.8860566476932	4	"ryanodine-sensitive calcium-release channel activity"	"ryanodine-sensitive calcium-release channel activity"	0.779548672566372	0.406880952380952	0
"GO:0048763"	1	"GO:0005219"	10.1870866433571	6	"calcium-induced calcium release activity"	"ryanodine-sensitive calcium-release channel activity"	0.770964601769912	0.383785714285714	0.968
"GO:0015278"	1	"GO:0005219"	8.33724216831843	18	"calcium-release channel activity"	"ryanodine-sensitive calcium-release channel activity"	0.756097345132743	0.343785714285714	0.911
"GO:0016725"	2	"GO:0016725"	7.60205999132796	11	"oxidoreductase activity, acting on CH or CH2 groups"	"oxidoreductase activity, acting on CH or CH2 groups"	0.950725663716814	0.5754	0
"GO:0099604"	1	"GO:0005219"	7.58502665202918	27	"ligand-gated calcium channel activity"	"ryanodine-sensitive calcium-release channel activity"	0.753566371681416	0.336976190476191	0.892
"GO:0008235"	3	"GO:0008235"	7.56863623584101	68	"metalloexopeptidase activity"	"metalloexopeptidase activity"	0.915176991150442	0.41025	0
"GO:0008233"	3	"GO:0008235"	6	602	"peptidase activity"	"metalloexopeptidase activity"	0.900132743362832	0.33225	0.727
"GO:0005217"	1	"GO:0005219"	5.95860731484177	30	"intracellular ligand-gated monoatomic ion channel activity"	"ryanodine-sensitive calcium-release channel activity"	0.766840707964602	0.372690476190476	0.88
"GO:0038023"	4	"GO:0038023"	5.95860731484177	1533	"signaling receptor activity"	"signaling receptor activity"	0.97583185840708	0.31725	0
"GO:0005343"	1	"GO:0005219"	5.92081875395237	37	"organic acid:sodium symporter activity"	"ryanodine-sensitive calcium-release channel activity"	0.754672566371681	0.339952380952381	0.534
"GO:0004177"	3	"GO:0008235"	5.82390874094432	40	"aminopeptidase activity"	"metalloexopeptidase activity"	0.918964601769911	0.441583333333333	0.857
"GO:0060089"	4	"GO:0038023"	5.82390874094432	1533	"molecular transducer activity"	"signaling receptor activity"	0.97583185840708	0.31725	0.961
"GO:0033218"	5	"GO:0033218"	5.67778070526608	405	"amide binding"	"amide binding"	0.969053097345133	0.5135	0
"GO:0008395"	2	"GO:0016725"	5.56863623584101	26	"steroid hydroxylase activity"	"oxidoreductase activity, acting on CH or CH2 groups"	0.944132743362832	0.4884	0.464
"GO:0008238"	3	"GO:0008235"	5.55284196865778	102	"exopeptidase activity"	"metalloexopeptidase activity"	0.911486725663717	0.391416666666667	0.931
"GO:0008237"	3	"GO:0008235"	5.20760831050175	185	"metallopeptidase activity"	"metalloexopeptidase activity"	0.911194690265487	0.398666666666667	0.888
"GO:1901702"	1	"GO:0005219"	5.11918640771921	587	"salt transmembrane transporter activity"	"ryanodine-sensitive calcium-release channel activity"	0.75170796460177	0.33197619047619	0.601
"GO:0003824"	3	"GO:0008235"	5	5582	"catalytic activity"	"metalloexopeptidase activity"	0.926699115044248	0.6255	0.31
