"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classic"
"GO:0071313"	"cellular response to caffeine"	27	11	0.84	"2.0e-10"
"GO:0071415"	"cellular response to purine-containing c..."	39	12	1.22	"1.4e-09"
"GO:0035994"	"response to muscle stretch"	49	12	1.53	"2.4e-08"
"GO:0071466"	"cellular response to xenobiotic stimulus"	479	39	14.93	"5.0e-08"
"GO:0042221"	"response to chemical"	6349	259	197.93	"5.6e-08"
"GO:0003013"	"circulatory system process"	716	50	22.32	"8.9e-08"
"GO:0009605"	"response to external stimulus"	4304	188	134.18	"1.3e-07"
"GO:0008015"	"blood circulation"	686	48	21.39	"1.5e-07"
"GO:0043171"	"peptide catabolic process"	61	12	1.9	"3.2e-07"
"GO:0010038"	"response to metal ion"	881	56	27.47	"3.4e-07"
"GO:0006952"	"defense response"	1850	96	57.67	"3.6e-07"
"GO:0010035"	"response to inorganic substance"	1416	78	44.14	"5.5e-07"
"GO:0007584"	"response to nutrient"	568	41	17.71	"5.8e-07"
"GO:0006936"	"muscle contraction"	550	40	17.15	"6.6e-07"
"GO:0050896"	"response to stimulus"	10767	391	335.66	"8.6e-07"
"GO:0014808"	"release of sequestered calcium ion into ..."	56	11	1.75	"1.0e-06"
"GO:1903514"	"release of sequestered calcium ion into ..."	56	11	1.75	"1.0e-06"
"GO:0055008"	"cardiac muscle tissue morphogenesis"	94	14	2.93	"1.2e-06"
"GO:0002702"	"positive regulation of production of mol..."	125	16	3.9	"1.7e-06"
"GO:0035206"	"regulation of hemocyte proliferation"	71	12	2.21	"1.8e-06"
"GO:1903779"	"regulation of cardiac conduction"	98	14	3.06	"2.1e-06"
"GO:0002456"	"T cell mediated immunity"	85	13	2.65	"2.2e-06"
"GO:0042359"	"vitamin D metabolic process"	61	11	1.9	"2.5e-06"
"GO:0009617"	"response to bacterium"	916	55	28.56	"2.5e-06"
"GO:0051283"	"negative regulation of sequestering of c..."	177	19	5.52	"2.9e-06"
"GO:0086002"	"cardiac muscle cell action potential inv..."	62	11	1.93	"3.0e-06"
"GO:0071312"	"cellular response to alkaloid"	101	14	3.15	"3.0e-06"
"GO:0035172"	"hemocyte proliferation"	77	12	2.4	"4.4e-06"
"GO:0006508"	"proteolysis"	2446	114	76.25	"5.2e-06"
"GO:0055010"	"ventricular cardiac muscle tissue morpho..."	66	11	2.06	"5.6e-06"
"GO:0070296"	"sarcoplasmic reticulum calcium ion trans..."	67	11	2.09	"6.5e-06"
"GO:0031000"	"response to caffeine"	68	11	2.12	"7.5e-06"
"GO:0036270"	"response to diuretic"	68	11	2.12	"7.5e-06"
"GO:0051209"	"release of sequestered calcium ion into ..."	173	18	5.39	"8.1e-06"
"GO:0051282"	"regulation of sequestering of calcium io..."	193	19	6.02	"1.0e-05"
"GO:0051707"	"response to other organism"	1816	89	56.61	"1.1e-05"
"GO:0043207"	"response to external biotic stimulus"	1817	89	56.65	"1.1e-05"
"GO:0051240"	"positive regulation of multicellular org..."	2762	124	86.11	"1.1e-05"
"GO:0044419"	"biological process involved in interspec..."	2299	107	71.67	"1.2e-05"
"GO:1901700"	"response to oxygen-containing compound"	2931	130	91.37	"1.2e-05"
"GO:0051239"	"regulation of multicellular organismal p..."	4893	198	152.54	"1.3e-05"
"GO:0009607"	"response to biotic stimulus"	1880	91	58.61	"1.3e-05"
"GO:0051592"	"response to calcium ion"	234	21	7.3	"1.5e-05"
"GO:0060760"	"positive regulation of response to cytok..."	87	12	2.71	"1.6e-05"
"GO:0002699"	"positive regulation of immune effector p..."	217	20	6.77	"1.6e-05"
"GO:0060415"	"muscle tissue morphogenesis"	118	14	3.68	"1.9e-05"
"GO:0003229"	"ventricular cardiac muscle tissue develo..."	76	11	2.37	"2.2e-05"
"GO:1904019"	"epithelial cell apoptotic process"	120	14	3.74	"2.2e-05"
"GO:0043588"	"skin development"	339	26	10.57	"2.5e-05"
"GO:0098771"	"inorganic ion homeostasis"	968	54	30.18	"2.5e-05"
"GO:0007204"	"positive regulation of cytosolic calcium..."	321	25	10.01	"2.7e-05"
"GO:0003012"	"muscle system process"	688	42	21.45	"2.7e-05"
"GO:0006941"	"striated muscle contraction"	264	22	8.23	"3.0e-05"
"GO:0051091"	"positive regulation of DNA-binding trans..."	323	25	10.07	"3.0e-05"
"GO:0051480"	"regulation of cytosolic calcium ion conc..."	325	25	10.13	"3.3e-05"
"GO:0051208"	"sequestering of calcium ion"	210	19	6.55	"3.3e-05"
"GO:0046847"	"filopodium assembly"	192	18	5.99	"3.3e-05"
"GO:0050778"	"positive regulation of immune response"	694	42	21.64	"3.3e-05"
"GO:0006950"	"response to stress"	5901	229	183.97	"3.4e-05"
"GO:0002697"	"regulation of immune effector process"	472	32	14.71	"3.5e-05"
"GO:0009410"	"response to xenobiotic stimulus"	837	48	26.09	"3.6e-05"
"GO:0030029"	"actin filament-based process"	1282	66	39.97	"3.9e-05"
"GO:0098660"	"inorganic ion transmembrane transport"	1364	69	42.52	"4.4e-05"
"GO:0006766"	"vitamin metabolic process"	312	24	9.73	"4.8e-05"
"GO:0048644"	"muscle organ morphogenesis"	147	15	4.58	"5.7e-05"
"GO:0019725"	"cellular homeostasis"	1324	67	41.28	"5.7e-05"
"GO:0050776"	"regulation of immune response"	877	49	27.34	"5.8e-05"
"GO:0003008"	"system process"	2836	123	88.41	"6.1e-05"
"GO:0006937"	"regulation of muscle contraction"	318	24	9.91	"6.5e-05"
"GO:0051489"	"regulation of filopodium assembly"	167	16	5.21	"7.0e-05"
