"go"	"cluster"	"parent"	"score"	"size"	"term"	"parentTerm"	"termUniqueness"	"termUniquenessWithinCluster"	"termDispensability"
"GO:0003677"	1	"GO:0003677"	11.537602002101	2530	"DNA binding"	"DNA binding"	0.887284615384615	0.344875	0
"GO:0008094"	2	"GO:0008094"	10.3467874862247	122	"ATP-dependent activity, acting on DNA"	"ATP-dependent activity, acting on DNA"	0.859453846153846	0.383	0
"GO:0140097"	2	"GO:0008094"	10.1739251972992	248	"catalytic activity, acting on DNA"	"ATP-dependent activity, acting on DNA"	0.852115384615385	0.409666666666667	0.916
"GO:0003684"	1	"GO:0003677"	9.92081875395237	71	"damaged DNA binding"	"DNA binding"	0.926546153846154	0.576375	0.55
"GO:0003678"	2	"GO:0008094"	8.06048074738138	58	"DNA helicase activity"	"ATP-dependent activity, acting on DNA"	0.855669230769231	0.403333333333333	0.935
"GO:0003676"	1	"GO:0003677"	7.63827216398241	4350	"nucleic acid binding"	"DNA binding"	0.897692307692308	0.4276875	0.793
"GO:0004527"	3	"GO:0004527"	7.08092190762393	81	"exonuclease activity"	"exonuclease activity"	0.803515384615385	0.292083333333333	0
"GO:0042393"	4	"GO:0042393"	6.92081875395237	252	"histone binding"	"histone binding"	0.961776923076923	1	0
"GO:0036310"	5	"GO:0036310"	6.74472749489669	5	"ATP-dependent DNA/DNA annealing activity"	"ATP-dependent DNA/DNA annealing activity"	0.931461538461538	0.411666666666667	0
"GO:1990814"	5	"GO:0036310"	6.74472749489669	8	"DNA/DNA annealing activity"	"ATP-dependent DNA/DNA annealing activity"	0.929592307692308	0.404666666666667	0.978
"GO:0016796"	3	"GO:0004527"	6.56863623584101	60	"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	"exonuclease activity"	0.809553846153846	0.310833333333333	0.962
"GO:0140098"	6	"GO:0140098"	6.55284196865778	395	"catalytic activity, acting on RNA"	"catalytic activity, acting on RNA"	0.845661538461538	1	0
"GO:0008409"	3	"GO:0004527"	6.49485002168009	19	"5'-3' exonuclease activity"	"exonuclease activity"	0.825792307692308	0.369208333333333	0.884
"GO:0004386"	7	"GO:0004386"	6.4089353929735	154	"helicase activity"	"helicase activity"	0.871838461538462	0.471666666666667	0
"GO:0000400"	1	"GO:0003677"	6.3767507096021	18	"four-way junction DNA binding"	"DNA binding"	0.925246153846154	0.54975	0.486
"GO:0005085"	8	"GO:0005085"	6.15490195998574	225	"guanyl-nucleotide exchange factor activity"	"guanyl-nucleotide exchange factor activity"	0.980792307692308	0.37575	0
"GO:0042162"	1	"GO:0003677"	5.72124639904717	38	"telomeric DNA binding"	"DNA binding"	0.923484615384615	0.5495625	0.542
"GO:0004540"	3	"GO:0004527"	5.61978875828839	124	"RNA nuclease activity"	"exonuclease activity"	0.789392307692308	0.293083333333333	0.86
"GO:0003682"	9	"GO:0003682"	5.48148606012211	596	"chromatin binding"	"chromatin binding"	0.977546153846154	0.581	0
"GO:0008013"	10	"GO:0008013"	5.431798275933	85	"beta-catenin binding"	"beta-catenin binding"	0.971030769230769	1	0
"GO:0004518"	3	"GO:0004527"	5.39794000867204	208	"nuclease activity"	"exonuclease activity"	0.794723076923077	0.276083333333333	0.913
"GO:0046332"	11	"GO:0046332"	5.11918640771921	79	"SMAD binding"	"SMAD binding"	0.970746153846154	1	0
"GO:0009378"	7	"GO:0004386"	5.09691001300806	6	"four-way junction helicase activity"	"helicase activity"	0.880546153846154	0.494666666666667	0.76
"GO:0000217"	1	"GO:0003677"	5.00436480540245	39	"DNA secondary structure binding"	"DNA binding"	0.9199	0.517625	0.531
"GO:0043565"	1	"GO:0003677"	4.92081875395237	1672	"sequence-specific DNA binding"	"DNA binding"	0.887469230769231	0.332875	0.878
"GO:0000405"	1	"GO:0003677"	4.72124639904717	8	"bubble DNA binding"	"DNA binding"	0.930730769230769	0.582625	0.441
"GO:0004532"	3	"GO:0004527"	4.35654732351381	41	"RNA exonuclease activity"	"exonuclease activity"	0.799676923076923	0.311791666666667	0.934
"GO:0005515"	12	"GO:0005515"	4.26760624017703	14048	"protein binding"	"protein binding"	0.945546153846154	1	0
"GO:0043138"	7	"GO:0004386"	4.20760831050175	14	"3'-5' DNA helicase activity"	"helicase activity"	0.870830769230769	0.473	0.825
