"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classic"
"GO:0006310"	"DNA recombination"	449	111	44.02	"1.4e-20"
"GO:0000724"	"double-strand break repair via homologou..."	257	77	25.19	"8.1e-20"
"GO:0000725"	"recombinational repair"	257	77	25.19	"8.1e-20"
"GO:0007063"	"regulation of sister chromatid cohesion"	79	38	7.74	"3.0e-18"
"GO:0010948"	"negative regulation of cell cycle proces..."	713	145	69.9	"5.0e-18"
"GO:0006302"	"double-strand break repair"	413	100	40.49	"5.6e-18"
"GO:0007062"	"sister chromatid cohesion"	136	49	13.33	"1.1e-16"
"GO:0045786"	"negative regulation of cell cycle"	984	175	96.47	"1.7e-15"
"GO:0051276"	"chromosome organization"	2040	303	199.99	"9.3e-15"
"GO:0006275"	"regulation of DNA replication"	227	63	22.25	"1.1e-14"
"GO:0006259"	"DNA metabolic process"	1619	252	158.72	"1.3e-14"
"GO:0090304"	"nucleic acid metabolic process"	5953	730	583.6	"1.4e-14"
"GO:0032200"	"telomere organization"	309	76	30.29	"2.4e-14"
"GO:0051052"	"regulation of DNA metabolic process"	749	140	73.43	"2.6e-14"
"GO:0006974"	"DNA damage response"	1297	210	127.15	"5.6e-14"
"GO:0000723"	"telomere maintenance"	308	75	30.19	"6.1e-14"
"GO:0060255"	"regulation of macromolecule metabolic pr..."	7211	854	706.92	"8.0e-14"
"GO:0045930"	"negative regulation of mitotic cell cycl..."	509	105	49.9	"9.1e-14"
"GO:1901988"	"negative regulation of cell cycle phase ..."	508	104	49.8	"2.0e-13"
"GO:0051726"	"regulation of cell cycle"	2125	307	208.32	"2.3e-13"
"GO:0006281"	"DNA repair"	866	152	84.9	"4.2e-13"
"GO:0000075"	"cell cycle checkpoint signaling"	439	93	43.04	"4.9e-13"
"GO:0010564"	"regulation of cell cycle process"	1464	227	143.52	"5.0e-13"
"GO:0007059"	"chromosome segregation"	857	150	84.02	"7.6e-13"
"GO:0031323"	"regulation of cellular metabolic process"	7743	901	759.08	"8.3e-13"
"GO:0043170"	"macromolecule metabolic process"	11239	1239	1101.8	"1.0e-12"
"GO:0031570"	"DNA integrity checkpoint signaling"	344	78	33.72	"1.1e-12"
"GO:0090329"	"regulation of DNA-templated DNA replicat..."	136	43	13.33	"1.5e-12"
"GO:0006260"	"DNA replication"	521	103	51.08	"2.5e-12"
"GO:0051171"	"regulation of nitrogen compound metaboli..."	6566	779	643.69	"2.7e-12"
"GO:0019219"	"regulation of nucleobase-containing comp..."	4385	551	429.88	"3.8e-12"
"GO:0010569"	"regulation of double-strand break repair..."	66	28	6.47	"3.9e-12"
"GO:2000104"	"negative regulation of DNA-templated DNA..."	55	25	5.39	"8.7e-12"
"GO:0006303"	"double-strand break repair via nonhomolo..."	148	44	14.51	"8.7e-12"
"GO:0019222"	"regulation of metabolic process"	7993	919	783.58	"9.2e-12"
"GO:0007064"	"mitotic sister chromatid cohesion"	77	30	7.55	"9.4e-12"
"GO:0022402"	"cell cycle process"	2553	347	250.28	"1.7e-11"
"GO:0006338"	"chromatin remodeling"	894	150	87.64	"2.1e-11"
"GO:0007049"	"cell cycle"	3070	404	300.96	"2.3e-11"
"GO:2000781"	"positive regulation of double-strand bre..."	49	23	4.8	"2.6e-11"
"GO:0048523"	"negative regulation of cellular process"	6778	794	664.47	"2.6e-11"
"GO:0000280"	"nuclear division"	1039	168	101.86	"2.7e-11"
"GO:0042770"	"signal transduction in response to DNA d..."	396	82	38.82	"4.1e-11"
"GO:0051053"	"negative regulation of DNA metabolic pro..."	289	66	28.33	"4.2e-11"
"GO:0098813"	"nuclear chromosome segregation"	721	126	70.68	"6.4e-11"
"GO:0000077"	"DNA damage checkpoint signaling"	320	70	31.37	"8.6e-11"
"GO:0033045"	"regulation of sister chromatid segregati..."	249	59	24.41	"9.6e-11"
"GO:0045910"	"negative regulation of DNA recombination"	79	29	7.74	"1.1e-10"
"GO:0008156"	"negative regulation of DNA replication"	100	33	9.8	"1.6e-10"
"GO:0048285"	"organelle fission"	1122	175	109.99	"2.0e-10"
"GO:0007346"	"regulation of mitotic cell cycle"	1320	199	129.4	"2.0e-10"
"GO:0031324"	"negative regulation of cellular metaboli..."	4026	502	394.68	"2.1e-10"
"GO:0009892"	"negative regulation of metabolic process"	4069	506	398.9	"2.6e-10"
"GO:0010556"	"regulation of macromolecule biosynthetic..."	5684	675	557.22	"2.8e-10"
"GO:0044818"	"mitotic G2/M transition checkpoint"	77	28	7.55	"3.1e-10"
"GO:0045935"	"positive regulation of nucleobase-contai..."	2506	335	245.67	"3.3e-10"
"GO:0040029"	"epigenetic regulation of gene expression"	587	106	57.55	"3.3e-10"
"GO:0044774"	"mitotic DNA integrity checkpoint signali..."	231	55	22.65	"3.4e-10"
"GO:0007093"	"mitotic cell cycle checkpoint signaling"	323	69	31.66	"3.5e-10"
