"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classic"
"GO:0051276"	"chromosome organization"	2040	342	174.62	" 1e-30"
"GO:0090304"	"nucleic acid metabolic process"	5953	733	509.56	" 1e-30"
"GO:0022402"	"cell cycle process"	2553	375	218.53	"8.3e-29"
"GO:1903047"	"mitotic cell cycle process"	1701	277	145.6	"9.2e-28"
"GO:0000278"	"mitotic cell cycle"	2077	317	177.78	"7.5e-27"
"GO:0006139"	"nucleobase-containing compound metabolic..."	7181	813	614.67	"2.4e-26"
"GO:0010564"	"regulation of cell cycle process"	1464	241	125.31	"1.1e-24"
"GO:0016070"	"RNA metabolic process"	5173	622	442.79	"1.4e-24"
"GO:0007049"	"cell cycle"	3070	413	262.78	"7.0e-24"
"GO:0007059"	"chromosome segregation"	857	164	73.36	"1.3e-23"
"GO:0000280"	"nuclear division"	1039	187	88.93	"1.4e-23"
"GO:0033044"	"regulation of chromosome organization"	811	157	69.42	"3.9e-23"
"GO:0098813"	"nuclear chromosome segregation"	721	144	61.71	"1.3e-22"
"GO:0140014"	"mitotic nuclear division"	679	138	58.12	"2.0e-22"
"GO:0019219"	"regulation of nucleobase-containing comp..."	4385	538	375.34	"2.1e-22"
"GO:0071824"	"protein-DNA complex organization"	1550	244	132.67	"3.1e-22"
"GO:0051726"	"regulation of cell cycle"	2125	307	181.89	"5.6e-22"
"GO:0000819"	"sister chromatid segregation"	577	123	49.39	"6.7e-22"
"GO:0006725"	"cellular aromatic compound metabolic pro..."	7629	833	653.01	"8.4e-22"
"GO:0051171"	"regulation of nitrogen compound metaboli..."	6566	738	562.03	"1.1e-21"
"GO:0000070"	"mitotic sister chromatid segregation"	520	114	44.51	"2.2e-21"
"GO:0048285"	"organelle fission"	1122	191	96.04	"3.4e-21"
"GO:0046483"	"heterocycle metabolic process"	7571	824	648.05	"6.0e-21"
"GO:0060255"	"regulation of macromolecule metabolic pr..."	7211	787	617.24	"8.0e-20"
"GO:0000377"	"RNA splicing, via transesterification re..."	658	129	56.32	"1.3e-19"
"GO:0000398"	"mRNA splicing, via spliceosome"	658	129	56.32	"1.3e-19"
"GO:0044770"	"cell cycle phase transition"	1151	190	98.52	"1.5e-19"
"GO:0000375"	"RNA splicing, via transesterification re..."	659	129	56.41	"1.5e-19"
"GO:0043170"	"macromolecule metabolic process"	11239	1125	962.02	"1.9e-19"
"GO:0006325"	"chromatin organization"	1424	221	121.89	"2.4e-19"
"GO:0051252"	"regulation of RNA metabolic process"	3921	480	335.62	"2.8e-19"
"GO:1902850"	"microtubule cytoskeleton organization in..."	481	103	41.17	"1.2e-18"
"GO:0080090"	"regulation of primary metabolic process"	6963	759	596.01	"1.4e-18"
"GO:0006397"	"mRNA processing"	834	149	71.39	"1.4e-18"
"GO:0044772"	"mitotic cell cycle phase transition"	961	164	82.26	"2.3e-18"
"GO:0007346"	"regulation of mitotic cell cycle"	1320	206	112.99	"2.6e-18"
"GO:0031323"	"regulation of cellular metabolic process"	7743	826	662.77	"3.2e-18"
"GO:0009059"	"macromolecule biosynthetic process"	8060	849	689.91	"2.6e-17"
