"go"	"cluster"	"parent"	"score"	"size"	"term"	"parentTerm"	"termUniqueness"	"termUniquenessWithinCluster"	"termDispensability"
"GO:0090304"	2	"GO:0090304"	30	5652	"nucleic acid metabolic process"	"nucleic acid metabolic process"	0.8526276849642	0.382416666666667	0
"GO:0051276"	1	"GO:0051276"	30	626	"chromosome organization"	"chromosome organization"	0.888484486873508	0.36346511627907	0
"GO:0022402"	3	"GO:0022402"	28.0809219076239	1308	"cell cycle process"	"cell cycle process"	0.871680190930787	0.296369863013699	0
"GO:0019219"	4	"GO:0019219"	21.6777807052661	4121	"regulation of nucleobase-containing compound metabolic process"	"regulation of nucleobase-containing compound metabolic process"	0.796766109785203	0.373155172413793	0
"GO:0071824"	5	"GO:0071824"	21.5086383061657	880	"protein-DNA complex organization"	"protein-DNA complex organization"	0.913824582338902	0.27185	0
"GO:0000377"	6	"GO:0000377"	18.8860566476932	332	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	0.878163484486874	0.354307692307692	0
"GO:0043170"	7	"GO:0043170"	18.7212463990472	10222	"macromolecule metabolic process"	"macromolecule metabolic process"	0.890752983293556	0.497777777777778	0
"GO:1902850"	8	"GO:1902850"	17.9208187539524	163	"microtubule cytoskeleton organization involved in mitosis"	"microtubule cytoskeleton organization involved in mitosis"	0.839270883054892	0.31412	0
"GO:0009059"	9	"GO:0009059"	16.5850266520292	7788	"macromolecule biosynthetic process"	"macromolecule biosynthetic process"	0.86681861575179	0.358	0
"GO:0006996"	10	"GO:0006996"	15.8860566476932	3613	"organelle organization"	"organelle organization"	0.889698090692124	0.3944375	0
"GO:0140013"	11	"GO:0140013"	15.5528419686578	194	"meiotic nuclear division"	"meiotic nuclear division"	0.81559785202864	0.288615384615385	0
"GO:0006259"	12	"GO:0006259"	14.7695510786217	1037	"DNA metabolic process"	"DNA metabolic process"	0.859731503579952	0.332756756756757	0
"GO:0050794"	13	"GO:0050794"	13.0705810742857	11770	"regulation of cellular process"	"regulation of cellular process"	0.902084725536993	0.6292	0
"GO:0051781"	14	"GO:0051781"	12.8538719643218	94	"positive regulation of cell division"	"positive regulation of cell division"	0.91703937947494	0.324294117647059	0
"GO:0006974"	15	"GO:0006974"	11.698970004336	884	"DNA damage response"	"DNA damage response"	0.940429594272076	0.367818181818182	0
"GO:0008608"	16	"GO:0008608"	10.568636235841	49	"attachment of spindle microtubules to kinetochore"	"attachment of spindle microtubules to kinetochore"	0.870202863961814	0.264066666666667	0
"GO:0048523"	17	"GO:0048523"	8.63827216398241	5526	"negative regulation of cellular process"	"negative regulation of cellular process"	0.884408114558473	0.512	0
"GO:0016570"	18	"GO:0016570"	7.67778070526608	120	"histone modification"	"histone modification"	0.905754176610978	0.391864864864865	0
"GO:0051169"	19	"GO:0051169"	7.30980391997149	330	"nuclear transport"	"nuclear transport"	0.956651551312649	0.2484	0
"GO:0051129"	20	"GO:0051129"	6.95860731484177	731	"negative regulation of cellular component organization"	"negative regulation of cellular component organization"	0.844982100238663	0.393	0
"GO:0009790"	21	"GO:0009790"	6.88605664769316	1124	"embryo development"	"embryo development"	0.914498806682578	0.311785714285714	0
"GO:0043414"	22	"GO:0043414"	6.36653154442041	210	"macromolecule methylation"	"macromolecule methylation"	0.911964200477327	0.5105	0
"GO:0035019"	23	"GO:0035019"	5.60205999132796	69	"somatic stem cell population maintenance"	"somatic stem cell population maintenance"	0.950193317422434	0.34275	0
"GO:0035987"	24	"GO:0035987"	5.24412514432751	49	"endodermal cell differentiation"	"endodermal cell differentiation"	0.910144391408115	0.465166666666667	0
"GO:0045165"	25	"GO:0045165"	5.14266750356873	286	"cell fate commitment"	"cell fate commitment"	0.924559665871122	0.3585	0
"GO:0007221"	26	"GO:0007221"	4.95860731484177	7	"positive regulation of transcription of Notch receptor target"	"positive regulation of transcription of Notch receptor target"	0.84972076372315	0.5605	0
"GO:0045652"	27	"GO:0045652"	4.95860731484177	38	"regulation of megakaryocyte differentiation"	"regulation of megakaryocyte differentiation"	0.877719570405728	0.522857142857143	0
"GO:0072331"	28	"GO:0072331"	4.82390874094432	175	"signal transduction by p53 class mediator"	"signal transduction by p53 class mediator"	0.911768496420048	0.459052631578947	0
"GO:0006491"	29	"GO:0006491"	4.72124639904717	17	"N-glycan processing"	"N-glycan processing"	0.930866348448687	0.469333333333333	0
